Palabras            			Doc1.txt		Doc2.txt		doc3.txt		
deberíamos:         			1			0			0
baño:               			0			1			0
pedimos:            			0			0			1
clavados:           			0			0			1
haría:              			0			1			0
ano:                			1			1			0
controlarme:        			1			0			0
escribiendo:        			0			0			1
escrita:            			0			2			1
procesos:           			1			0			0
responsabilidad:    			0			1			0
experiencia:        			0			3			0
diapositivas:       			0			3			1
aplicarlo:          			0			0			1
tratas:             			1			1			1
valoraban:          			0			0			1
rápidos:            			1			0			0
régimen:            			1			0			0
veo:                			0			4			0
opino:              			2			0			0
costar:             			0			1			0
contestaba:         			0			1			1
mala:               			0			1			0
escenarios:         			0			1			2
término:            			0			1			0
excede:             			0			0			1
conferencias:       			1			0			1
comillas:           			1			0			0
artículo:           			1			1			0
créeme:             			0			2			0
embargo:            			0			0			5
red:                			0			1			0
aceptar:            			0			1			0
analízala:          			1			0			0
días:               			0			0			1
decidir:            			0			1			0
debe:               			4			2			1
cambian:            			0			1			0
contesta:           			0			2			0
verán:              			0			1			0
utilizar:           			1			3			5
tomo:               			1			1			1
pregunto:           			0			7			1
contrario:          			0			0			2
puntos:             			2			0			0
hipótesis:          			3			0			0
asignes:            			0			0			1
pantalla:           			0			0			1
hagas:              			0			1			1
marzo:              			0			1			0
comunicarse:        			1			0			0
facebook:           			2			2			0
complementar:       			1			0			0
investigaban:       			0			0			1
demoro:             			1			0			0
decías:             			0			0			1
decía:              			0			4			4
tecnologías:        			0			0			3
empresa:            			0			4			1
mejor:              			6			7			3
procurar:           			0			0			1
quedas:             			0			1			0
incluí:             			0			0			1
álgebra:            			0			0			1
impelente:          			0			1			0
sintetiza:          			1			0			0
presentar:          			0			1			0
sencillo:           			2			0			1
cursos:             			2			4			10
compañeros:         			3			0			1
ahorita:            			2			1			0
estudiando:         			0			0			1
según:              			0			1			0
necesario:          			1			0			0
toma:               			2			1			0
particular:         			2			0			1
echan:              			0			0			1
hablo:              			2			2			1
investigarlo:       			0			1			0
perdían:            			0			0			1
logras:             			0			1			0
cobra:              			0			2			0
ensenaron:          			0			1			0
vinculados:         			1			0			0
nació:              			0			0			1
molestas:           			0			1			0
quedaban:           			0			0			1
asunto:             			1			0			0
participativos:     			1			0			0
condénsala:         			1			0			0
conocían:           			0			0			1
maestrías:          			4			0			0
reservada:          			2			0			0
manos:              			0			0			1
formas:             			1			0			0
apenas:             			1			0			0
profe:              			0			0			5
sencilla:           			1			1			2
sistemas:           			0			7			1
motivarlos:         			2			2			1
aleves:             			0			1			0
ficha:              			0			1			0
tuviéramos:         			0			0			1
acá:                			6			1			0
envío:              			1			0			0
ecuador:            			1			2			0
casos:              			3			10			0
podíamos:           			1			0			0
acerca:             			1			0			0
entendiendo:        			0			1			0
suficiente:         			0			0			1
dividen:            			0			1			0
cantidades:         			0			0			1
láminas:            			0			4			0
allí:               			11			18			3
estaban:            			0			3			15
fuera:              			4			5			2
conté:              			1			0			0
rápido:             			0			3			0
requiere:           			0			0			1
hará:               			0			0			1
consciente:         			1			0			0
whatsapp:           			0			3			0
leen:               			0			2			0
entendieron:        			0			3			0
investigaciones:    			1			0			0
regalado:           			0			1			0
dependiendo:        			0			1			1
estábamos:          			1			2			6
casualmente:        			0			1			0
picarlos:           			0			0			1
madre:              			0			1			0
delante:            			1			3			0
daniel:             			0			1			0
graso:              			0			2			0
impresionados:      			0			1			0
mío:                			0			1			0
encontrar:          			1			0			0
rompe:              			0			1			0
nadie:              			2			8			0
cometen:            			0			0			1
justifica:          			1			0			0
cálculo:            			0			1			0
visuales:           			0			0			1
estás:              			0			2			1
formaron:           			0			1			0
justo:              			1			1			1
ayuda:              			1			0			1
oro:                			0			1			0
seguros:            			0			1			0
trabajos:           			1			1			0
desvían:            			0			1			0
grupal:             			1			0			0
seria:              			0			1			0
aporte:             			0			1			0
levanto:            			2			2			0
dijo:               			2			9			0
venden:             			1			1			0
tomabas:            			0			0			1
puesto:             			0			1			1
adefesiosa:         			0			1			0
negociación:        			1			1			0
gustar:             			0			1			0
monsalve:           			2			4			0
usó:                			0			1			0
tipo:               			4			14			0
puedan:             			4			1			2
pudiste:            			0			1			0
impresionado:       			0			1			0
seguía:             			1			0			0
hielo:              			0			1			0
xx:                 			1			0			0
lógico:             			0			1			0
qué:                			10			2			5
suele:              			1			0			0
querido:            			1			0			0
dificultad:         			1			0			2
ingenieros:         			0			1			0
horas:              			2			2			8
motivaba:           			0			0			2
actividades:        			4			2			0
aplicación:         			0			2			7
hechos:             			0			1			0
objetivo:           			4			0			2
laboratorio:        			0			0			1
cometió:            			0			1			0
tamaño:             			0			0			1
rogaba:             			0			1			0
hablé:              			0			1			0
logran:             			1			0			1
suelo:              			2			0			0
tranquilidad:       			1			0			0
idea:               			3			1			4
herramienta:        			0			4			4
inverso:            			0			1			0
servir:             			2			4			0
relación:           			3			0			2
dice:               			11			16			0
adecuada:           			1			0			0
encontré:           			1			0			3
intermedio:         			0			1			0
duda:               			1			1			0
cuesta:             			2			0			0
palabras:           			1			1			0
extorsión:          			0			1			0
reunión:            			1			1			0
búsqueda:           			1			0			0
responder:          			5			1			3
cuestionen:         			1			0			0
compromiso:         			0			2			0
avanzados:          			0			0			1
designaba:          			0			0			1
emprendimiento:     			0			8			0
pierdo:             			1			0			0
incluyeran:         			0			0			1
café:               			1			0			0
hubiesen:           			0			0			1
quedarse:           			0			1			0
quedan:             			0			3			0
famoso:             			1			0			0
boto:               			0			1			0
hacerle:            			0			0			1
arrepentido:        			0			1			0
costo:              			0			1			0
respetando:         			1			0			0
clarito:            			1			0			0
comerse:            			1			0			0
inicio:             			4			3			6
light:              			1			0			0
he:                 			13			7			1
